station,latitude,longitude,elevation,Temp_mean_min,Temp_mean_max,Temp_mean_avg,Temp_mean_range
GV000001829,10.38,-9.3,377.0,20.76481177275843,33.24796303901429,27.006387405886304,12.483151266255991
GV000001832,9.57,-13.62,46.0,25.553196440794018,28.9322929500341,27.242744695414093,3.379096509240243
GV000001847,8.53,-9.42,543.0,19.47679123887751,29.53438329911019,24.50558726899395,10.057592060232698
GVM00061833,10.035,-10.77,449.9,20.1365147159479,31.64971252566743,25.893113620807696,11.513197809719385
GVM00061834,9.217,-10.217,412.0,19.62472689938397,29.8901971252566,24.75746201232028,10.265470225872697
GVM00061849,7.733,-8.833,470.0,20.41653251197808,29.874360027378472,25.145446269678395,9.457827515400385
KE000063612,3.117,35.617,515.0,23.491731690622913,35.35211362080756,29.42192265571528,11.860381930184817
KE000063624,3.933,41.867,231.0,22.629969883641312,35.65933744010948,29.144653661875378,13.029367556468161
KE000063661,1.016,35.0,1875.0,11.771616700889815,22.999123887748173,17.385370294318946,11.227507186858343
KE000063723,-0.467,39.633,147.0,22.139934291581092,34.473492128679,28.30671321013008,12.333557837097903
KE000063740,-1.317,36.917,1624.0,13.947385352498252,27.734299794661247,20.840842573579682,13.786914442162873
KE000063820,-4.033,39.617,55.0,22.44509650924023,31.704168377823443,27.074632443531815,9.259071868583169
KEM00063686,0.404,35.239,2115.6,13.917477070499654,24.83790280629705,19.377689938398373,10.920425735797453
KEM00063741,-1.3,36.75,1798.0,13.947385352498252,27.734299794661247,20.840842573579682,13.786914442162873
KEM00063799,-3.229,40.102,25.0,23.742943189596193,31.378354551676853,27.560648870636495,7.635411362080768
LT002073370,-30.12,28.7,1970.0,4.356795345653667,19.869429158110947,12.113112251882303,15.512633812457226
LT002334390,-29.82,27.25,1610.0,6.5496235455167815,21.719901437371576,14.134762491444281,15.170277891854873
LT002638590,-29.3,27.5,1539.0,7.374952772073902,22.55309924709115,14.964026009582472,15.178146475017114
LT002970830,-28.88,28.05,1740.0,7.048989733059525,21.421749486652946,14.235369609856239,14.372759753593405
LIM00065660,6.234,-10.362,9.4,25.875111567419555,27.885809719370414,26.880460643394898,2.01069815195073
MA000067009,-12.35,49.3,105.0,22.395466119096564,28.7340123203286,25.564739219712607,6.338546201232028
MA000067019,-14.633,47.767,57.0,25.213479808350364,29.093360711841203,27.15342026009605,3.8798809034907524
MA000067083,-18.8,47.483,1276.0,12.185375770020546,21.653946611909607,16.919661190965094,9.46857084188915
MA000067095,-18.117,49.4,6.0,22.020238193018525,25.745242984257402,23.882740588637855,3.725004791238884
MA000067161,-23.383,43.733,8.0,21.16430800821357,30.471720739219762,25.818014373716473,9.307412731006174
MA000067197,-25.033,46.95,9.0,20.04581519507179,26.028662559890478,23.037238877481112,5.9828473648186336
MAM00067012,-13.312,48.315,11.0,24.586492813141756,28.76815605749484,26.677324435318262,4.181663244353192
MAM00067017,-13.376,50.003,5.8,22.631184120465328,27.358982888432593,24.995083504449077,4.72779876796714
